brand,population,slice,day,n_users,n_cost_dates,sum_cum,actual_arpu,actual_ratio,actual_arpu_dstar,d_star,shape_ok,method,raw_goal_ratio,organic_share,adjusted_goal_ratio,ARPU_nominal,ARPU_at_horizon,frozen_shape,shape_signed_bias,shape_ae,shape_ape,level_signed_bias,level_ae,level_ape
lonestar,App,launch_week,3,2000,7,21230.09,10.615045,0.24701609774861433,42.97309,27,True,hybrid_donor,0.15619290150705964,0.33762183461493167,0.10345876754641684,6.738697686595667,43.143431113552175,0.3526694352670444,-0.10565333751843009,0.10565333751843009,0.2995817809911098,3.8763473134043336,3.8763473134043336,0.5752368623265294
lonestar,App,launch_week,7,2000,7,35738.89,17.869445,0.41582871978719704,42.97309,27,True,hybrid_donor,0.2285194349863578,0.33762183461493167,0.15136628410109607,9.859112501441793,43.143431113552175,0.5159762019053106,-0.10014748211811353,0.10014748211811353,0.19409321931574686,8.010332498558206,8.010332498558206,0.8124800784438537
lonestar,App,launch_week,14,2000,7,49178.57,24.589285,0.5722019291607842,42.97309,27,True,hybrid_donor,0.31367471876491826,0.33762183461493167,0.20777128474318382,13.533003621097102,43.143431113552175,0.7082491256452697,-0.1360471964844855,0.1360471964844855,0.19208946620376832,11.056281378902899,11.056281378902899,0.8169865085727792
lonestar,App,launch_week,21,2000,7,61299.960000000014,30.649980000000006,0.7132365859657754,42.97309,27,True,hybrid_donor,0.38891593834762705,0.33762183461493167,0.2576094257317135,16.779167995063354,43.143431113552175,0.8781369897095548,-0.16490040374377934,0.16490040374377934,0.18778437268463138,13.870812004936653,13.870812004936653,0.8266686410802743
lonestar,App,launch_day,1,208,1,3434.59,16.512451923076924,0.5639072684584695,29.28221153846154,33,True,native_early_rp_tail,0.08350354364704225,0.33762183461493167,0.05531092404407983,4.045430136018371,48.44620909883581,0.15298854680181748,0.410918721656652,0.410918721656652,2.685944341892202,12.467021787058552,12.467021787058552,3.0817543173119666
lonestar,App,launch_day,3,208,1,5484.05,26.365625,0.9003973270724219,29.28221153846154,33,True,native_early_rp_tail,0.1536935647796174,0.33762183461493167,0.10180326147021412,7.445870576458812,48.44620909883581,0.2815851172473867,0.6188122098250353,0.6188122098250353,2.197602685376932,18.91975442354119,18.91975442354119,2.540972775347279
lonestar,App,launch_day,7,208,1,5554.99,26.70668269230769,0.912044592575566,29.28221153846154,33,True,native_early_rp_tail,0.25867166688100685,0.33762183461493167,0.17133846414573886,12.53166166166166,48.44620909883581,0.4739176409351197,0.43812695164044635,0.43812695164044635,0.9244790946712761,14.17502103064603,14.17502103064603,1.1311365893329157
lonestar,App,launch_day,14,208,1,5984.85,28.77331730769231,0.9826210452000591,29.28221153846154,33,True,native_early_rp_tail,0.32280152418328717,0.33762183461493167,0.21381668137202953,15.638510138006435,48.44620909883581,0.5914112615262896,0.39120978367376946,0.39120978367376946,0.6614851781214843,13.134807169685875,13.134807169685875,0.8399014390612707
lonestar,App,launch_day,21,208,1,6054.76,29.10942307692308,0.994099200420313,29.28221153846154,33,True,native_early_rp_tail,0.3950460436045403,0.33762183461493167,0.2616698736054051,19.138483232133368,48.44620909883581,0.7237719202232537,0.2703272801970593,0.2703272801970593,0.3734978833023455,9.970939844789712,9.970939844789712,0.5209890315680074
lonestar,App,launch_day,28,208,1,6075.7300000000005,29.210240384615386,0.9975421544321671,29.28221153846154,33,True,native_early_rp_tail,0.4979969481566269,0.33762183461493167,0.32986230488734947,24.126064280978042,48.44620909883581,0.9123903739014675,0.0851517805306996,0.0851517805306996,0.09332823204456064,5.084176103637343,5.084176103637343,0.2107337543507215
lonestar,App,launch_week,1,2000,7,12780.349999999999,6.390174999999999,0.1487017805794277,42.97309,27,True,native_early_rp_tail,0.08350354364704225,0.33762183461493167,0.05531092404407983,4.045430136018371,48.44620909883581,0.17233167654254058,-0.02362989596311288,0.02362989596311288,0.13711870294072007,2.344744863981628,2.344744863981628,0.5796033512246965
lonestar,App,launch_week,3,2000,7,21230.09,10.615045,0.24701609774861433,42.97309,27,True,native_early_rp_tail,0.1536935647796174,0.33762183461493167,0.10180326147021412,7.445870576458812,48.44620909883581,0.3171873735589567,-0.07017127581034238,0.07017127581034238,0.22122972621197168,3.1691744235411887,3.1691744235411887,0.42562845955998596
lonestar,App,launch_week,7,2000,7,35738.89,17.869445,0.41582871978719704,42.97309,27,True,native_early_rp_tail,0.25867166688100685,0.33762183461493167,0.17133846414573886,12.53166166166166,48.44620909883581,0.5338374885750905,-0.11800876878789346,0.11800876878789346,0.2210574778157307,5.337783338338339,5.337783338338339,0.42594378003902833
lonestar,App,launch_week,14,2000,7,49178.57,24.589285,0.5722019291607842,42.97309,27,True,native_early_rp_tail,0.32280152418328717,0.33762183461493167,0.21381668137202953,15.638510138006435,48.44620909883581,0.6661864326157104,-0.09398450345492626,0.09398450345492626,0.1410783811461096,8.950774861993565,8.950774861993565,0.5723547053398906
lonestar,App,launch_week,21,2000,7,61299.960000000014,30.649980000000006,0.7132365859657754,42.97309,27,True,native_early_rp_tail,0.3950460436045403,0.33762183461493167,0.2616698736054051,19.138483232133368,48.44620909883581,0.8152821309431869,-0.10204554497741147,0.10204554497741147,0.1251659285839573,11.511496767866639,11.511496767866639,0.6014842779462755
