brand,method,population,goal_horizon,day,ARPU_nominal,ARPU_at_horizon,raw_goal_ratio,organic_share,adjusted_goal_ratio,effective_patch,is_extrapolated
lonestar,hybrid_donor,App,120,53,28.496555881702108,43.143431113552175,0.6605074085716561,0.33762183461493167,0.43750568551293934,30->60,False
lonestar,hybrid_donor,App,120,54,28.898044732363303,43.143431113552175,0.669813317728591,0.33762183461493167,0.44366971654754994,30->60,False
lonestar,hybrid_donor,App,120,55,29.18075667154895,43.143431113552175,0.6763661562926254,0.33762183461493167,0.4480101737336596,30->60,False
lonestar,hybrid_donor,App,120,56,29.42329068095011,43.143431113552175,0.6819877307279738,0.33762183461493167,0.4517337818947213,30->60,False
lonestar,hybrid_donor,App,120,57,29.852413265125463,43.143431113552175,0.6919341483655955,0.33762183461493167,0.4583220717616828,30->60,False
lonestar,hybrid_donor,App,120,58,30.239360488721303,43.143431113552175,0.7009030044256852,0.33762183461493167,0.4642628461843678,30->60,False
lonestar,hybrid_donor,App,120,59,30.488513320575002,43.143431113552175,0.7066779932344782,0.33762183461493167,0.4680880726766554,30->60,False
lonestar,hybrid_donor,App,120,60,30.89907147681085,43.143431113552175,0.7161941152868776,0.33762183461493167,0.4743913441433041,30->60,False
lonestar,hybrid_donor,App,120,61,31.068971107939156,43.143431113552175,0.720132133815843,0.33762183461493167,0.4769998016317726,60->90,False
lonestar,hybrid_donor,App,120,62,31.272039833147712,43.143431113552175,0.7248389621780583,0.33762183461493167,0.4801175019671192,60->90,False
lonestar,hybrid_donor,App,120,63,31.458646684808603,43.143431113552175,0.7291642290111423,0.33762183461493167,0.48298246427681824,60->90,False
lonestar,hybrid_donor,App,120,64,31.621379371733774,43.143431113552175,0.7329361285268963,0.33762183461493167,0.4854808881580802,60->90,False
lonestar,hybrid_donor,App,120,65,31.845479733920165,43.143431113552175,0.7381304386779959,0.33762183461493167,0.4889214857864066,60->90,False
lonestar,hybrid_donor,App,120,66,32.01526065444413,43.143431113552175,0.7420657056732681,0.33762183461493167,0.49152812071903546,60->90,False
lonestar,hybrid_donor,App,120,67,32.23312580175056,43.143431113552175,0.7471154928988836,0.33762183461493167,0.49487298951712355,60->90,False
lonestar,hybrid_donor,App,120,68,32.32638764479278,43.143431113552175,0.7492771624887861,0.33762183461493167,0.49630483225425187,60->90,False
lonestar,hybrid_donor,App,120,69,32.53170672041997,43.143431113552175,0.7540361505972375,0.33762183461493167,0.49945708206661726,60->90,False
lonestar,hybrid_donor,App,120,70,32.762498031063885,43.143431113552175,0.7593855468943581,0.33762183461493167,0.5030004053718217,60->90,False
lonestar,hybrid_donor,App,120,71,32.950649288820124,43.143431113552175,0.7637466107434765,0.33762183461493167,0.5058890788433279,60->90,False
lonestar,hybrid_donor,App,120,72,33.18034272350718,43.143431113552175,0.7690705599231907,0.33762183461493167,0.5094155465335903,60->90,False
lonestar,hybrid_donor,App,120,73,33.29323660707773,43.143431113552175,0.7716872707562586,0.33762183461493167,0.5111487986545411,60->90,False
lonestar,hybrid_donor,App,120,74,33.5502247544243,43.143431113552175,0.7776438704219223,0.33762183461493167,0.5150943202130167,60->90,False
lonestar,hybrid_donor,App,120,75,33.75554350761661,43.143431113552175,0.7824028510568171,0.33762183461493167,0.5182465650750614,60->90,False
lonestar,hybrid_donor,App,120,76,33.93187740310056,43.143431113552175,0.7864900061794554,0.33762183461493167,0.5209538073868387,60->90,False
lonestar,hybrid_donor,App,120,77,34.20324570995175,43.143431113552175,0.7927799163661756,0.33762183461493167,0.5251201065567553,60->90,False
lonestar,hybrid_donor,App,120,78,34.35667007426359,43.143431113552175,0.796336062930134,0.33762183461493167,0.5274756203936305,60->90,False
lonestar,hybrid_donor,App,120,79,34.71780211555217,43.143431113552175,0.8047065617979244,0.33762183461493167,0.5330200560770353,60->90,False
lonestar,hybrid_donor,App,120,80,35.03744772078715,43.143431113552175,0.812115467325018,0.33762183461493167,0.5379275533275829,60->90,False
lonestar,hybrid_donor,App,120,81,35.20808886302342,43.143431113552175,0.8160706729688888,0.33762183461493167,0.5405473951856906,60->90,False
lonestar,hybrid_donor,App,120,82,35.481554396041595,43.143431113552175,0.8224091937114423,0.33762183461493167,0.5447458929263984,60->90,False
lonestar,hybrid_donor,App,120,83,36.20184706859174,43.143431113552175,0.8391044971205373,0.33762183461493167,0.5558044973690618,60->90,False
lonestar,hybrid_donor,App,120,84,37.16508734331492,43.143431113552175,0.8614309614248705,0.33762183461493167,0.5705930598345013,60->90,False
lonestar,hybrid_donor,App,120,85,37.61381297498999,43.143431113552175,0.8718317482907559,0.33762183461493167,0.5774823139572876,60->90,False
lonestar,hybrid_donor,App,120,86,37.83411765072439,43.143431113552175,0.8769380801250174,0.33762183461493167,0.580864636669513,60->90,False
lonestar,hybrid_donor,App,120,87,38.03380870184959,43.143431113552175,0.8815666190699062,0.33762183461493167,0.5839304798042418,60->90,False
lonestar,hybrid_donor,App,120,88,38.18847537693846,43.143431113552175,0.88515156053369,0.33762183461493167,0.5863050667540358,60->90,False
lonestar,hybrid_donor,App,120,89,38.3673327503628,43.143431113552175,0.889297206088713,0.33762183461493167,0.5890510518511087,60->90,False
lonestar,hybrid_donor,App,120,90,38.68990681039145,43.143431113552175,0.8967739888040154,0.33762183461493167,0.5940035094690536,60->90,False
lonestar,hybrid_donor,App,120,91,38.815612077487565,43.143431113552175,0.8996876482847661,0.33762183461493167,0.59593345389047,90->120,False
lonestar,hybrid_donor,App,120,92,38.91049085356449,43.143431113552175,0.9018867959563365,0.33762183461493167,0.5973901212905756,90->120,False
lonestar,hybrid_donor,App,120,93,39.14860053196418,43.143431113552175,0.9074058210374198,0.33762183461493167,0.6010458029984977,90->120,False
lonestar,hybrid_donor,App,120,94,39.37542546183862,43.143431113552175,0.9126632825795361,0.33762183461493167,0.6045282307293474,90->120,False
lonestar,hybrid_donor,App,120,95,39.4682452766127,43.143431113552175,0.9148147066174106,0.33762183461493167,0.60595328703652,90->120,False
lonestar,hybrid_donor,App,120,96,39.60018723173893,43.143431113552175,0.9178729231690558,0.33762183461493167,0.6079789829053489,90->120,False
lonestar,hybrid_donor,App,120,97,39.755969531480005,43.143431113552175,0.9214837231383736,0.33762183461493167,0.6103706979645981,90->120,False
lonestar,hybrid_donor,App,120,98,39.90384229299012,43.143431113552175,0.924911191879117,0.33762183461493167,0.6126409784210064,90->120,False
lonestar,hybrid_donor,App,120,99,40.16652406653852,43.143431113552175,0.9309997612573157,0.33762183461493167,0.6166739138355574,90->120,False
lonestar,hybrid_donor,App,120,100,40.25127863714132,43.143431113552175,0.9329642450365433,0.33762183461493167,0.6179751449971709,90->120,False
lonestar,hybrid_donor,App,120,101,40.34878962210212,43.143431113552175,0.9352244033606264,0.33762183461493167,0.6194722245213569,90->120,False
lonestar,hybrid_donor,App,120,102,40.49449872209066,43.143431113552175,0.938601721673698,0.33762183461493167,0.6217092864294906,90->120,False
lonestar,hybrid_donor,App,120,103,40.639793145574615,43.143431113552175,0.9419694284075816,0.33762183461493167,0.6239399818374354,90->120,False
lonestar,hybrid_donor,App,120,104,40.75403870595845,43.143431113552175,0.9446174690811002,0.33762183461493167,0.6256939861606257,90->120,False
lonestar,hybrid_donor,App,120,105,40.81647387108215,43.143431113552175,0.9460646225297765,0.33762183461493167,0.6266525490069905,90->120,False
lonestar,hybrid_donor,App,120,106,40.918118812580595,43.143431113552175,0.9484205997637363,0.33762183461493167,0.6282130968849098,90->120,False
lonestar,hybrid_donor,App,120,107,41.05529390064115,43.143431113552175,0.9516001124849085,0.33762183461493167,0.6303191366879783,90->120,False
lonestar,hybrid_donor,App,120,108,41.15868956815677,43.143431113552175,0.9539966689211243,0.33762183461493167,0.6319065633434408,90->120,False
lonestar,hybrid_donor,App,120,109,41.274739418850125,43.143431113552175,0.9566865303368267,0.33762183461493167,0.6336882688131138,90->120,False
lonestar,hybrid_donor,App,120,110,41.43947747468198,43.143431113552175,0.9605049112949444,0.33762183461493167,0.6362174809868931,90->120,False
lonestar,hybrid_donor,App,120,111,41.60943320364555,43.143431113552175,0.964444230087561,0.33762183461493167,0.6388267997416134,90->120,False
lonestar,hybrid_donor,App,120,112,41.7547604822925,43.143431113552175,0.9678126983548262,0.33762183461493167,0.6410579995726423,90->120,False
lonestar,hybrid_donor,App,120,113,41.93231042830987,43.143431113552175,0.9719280397042444,0.33762183461493167,0.6437839118256032,90->120,False
lonestar,hybrid_donor,App,120,114,42.0815549383958,43.143431113552175,0.9753873035187778,0.33762183461493167,0.6460752526446568,90->120,False
lonestar,hybrid_donor,App,120,115,42.23095667704317,43.143431113552175,0.9788502116554568,0.33762183461493167,0.6483690073831273,90->120,False
lonestar,hybrid_donor,App,120,116,42.31412919950821,43.143431113552175,0.9807780259325859,0.33762183461493167,0.6496459494672152,90->120,False
lonestar,hybrid_donor,App,120,117,42.42757540308934,43.143431113552175,0.9834075387147878,0.33762183461493167,0.6513876813197467,90->120,False
lonestar,hybrid_donor,App,120,118,42.57073778876993,43.143431113552175,0.9867258280113389,0.33762183461493167,0.6535856436962131,90->120,False
lonestar,hybrid_donor,App,120,119,42.88718713383835,43.143431113552175,0.9940606490235003,0.33762183461493167,0.6584440689816765,90->120,False
