brand,population,patch,n_cohort_dates,n_users,cv_before,cv_after,existing_flagged_status,mean,std,median,MAD,relative_mad_raw,scaled_mad_cv,p10,p25,p75,p90,IQR,relative_IQR,p90_p10_ratio,relative_p10_p90_spread,p10_ratio_valid,median_denominator_valid,std_log,log_p90_p10_spread,pct_positive_for_log,n_excluded_from_log,skewness,is_focus_case,cv_percentile_within_patch,rmad_percentile_within_patch,riqr_percentile_within_patch,p10_p90_percentile_within_patch,log_dispersion_percentile_within_patch,tail_sensitivity_signal,cv_minus_rmad_rank,cv_minus_log_rank,diagnostic_interpretation
realprize,Affiliate,1->7,30,15145,0.4255446030821991,0.14140344653772502,False,1.6722571699102666,0.2503160541920166,1.6637497812962048,0.17931592442011524,0.10777818061103674,0.15979193057392307,1.4088955971203934,1.4691888863775622,1.8033023892996947,2.0150377278285303,0.3341135029221325,0.20081956233937368,1.4302250159252508,0.3643228912919224,True,True,0.14623763824446762,0.35783178568688795,1.0,0,0.6167036872483561,False,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,Affiliate,7->14,33,15284,0.11138404857251412,0.09018495310175713,False,1.216655257198773,0.10793052777364347,1.1947888475150126,0.07439496284427949,0.06226620126142809,0.09231586999019328,1.069921821965286,1.1411548664191804,1.2966415636554334,1.3726440857262114,0.15548669723625297,0.13013738583151555,1.2829386760285626,0.2533688395154875,True,True,0.08790787562871741,0.24915328716347204,1.0,0,0.3674844724213127,False,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,-0.14285714285714285,-0.14285714285714285,0.0,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,Affiliate,14->30,30,15279,0.16637637264401606,0.09453153239303941,False,1.2518250297930666,0.10268537397070691,1.2746431281126807,0.05474196703550804,0.04294689692209187,0.06367306937669341,1.099985508031128,1.204466497083069,1.3146019300108858,1.3689969212550106,0.1101354329278168,0.08640491640267223,1.244559052150958,0.21104841605524388,True,True,0.08445350130664658,0.21878129220274956,1.0,0,-0.5637797383770485,False,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,Affiliate,30->60,32,9843,0.12357793433065091,0.09972573540944019,False,1.2451928352671042,0.11673813559912023,1.2388632280214025,0.10468622355948176,0.08450184103589618,0.12528242951981966,1.076044746534008,1.135538338329848,1.3440614379744702,1.38979050567357,0.20852309964462212,0.16831809591899494,1.291573152650159,0.2532529435397382,True,True,0.09511097809742448,0.25586097356807874,1.0,0,-0.17850181320516373,False,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.0,0.0,0.14285714285714285,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,Affiliate,60->90,35,11753,0.07597826735976242,0.07597826735976242,False,1.172781027872298,0.09266323880557657,1.14526333306469,0.067661246708284,0.05907920454174024,0.08759082865358407,1.0665977858720808,1.093648153547324,1.2340982579138053,1.300059462760776,0.14045010436648142,0.12263564222443164,1.2188844567099961,0.20384977860415635,True,True,0.0779307285080844,0.19793606069909098,1.0,0,0.4967135475724535,False,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,-0.2857142857142857,-0.2857142857142857,-0.14285714285714285,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,Affiliate,90->120,35,18369,0.07581600323086178,0.07581600323086178,False,1.110333327438314,0.07079580344533244,1.0792874149853129,0.023304924977417762,0.021592881241680094,0.0320136057289149,1.0487050268310643,1.0642188918313784,1.1344407983338258,1.206348085782593,0.07022190650244742,0.06506321256734288,1.1503216394679525,0.14606216728069046,True,True,0.060849747679184524,0.14004158976405431,1.0,0,1.7491470822179411,False,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,Affiliate,120->150,35,19102,0.0961025076527806,0.0961025076527806,False,1.0914653450557947,0.10545568994304821,1.0611171607652936,0.0238903226505216,0.022514311834606032,0.0333797187259869,1.0259214900096219,1.0433044331509862,1.1009817927154764,1.1577918203556068,0.05767735956449016,0.05435531692173594,1.1285384229009066,0.12427499546881146,True,True,0.08404256371242638,0.12092336445916134,1.0,0,3.717675702690831,False,1.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.8571428571428572,0.8571428571428572,0.2857142857142857,High CV but relatively concentrated central distribution; tails appear important. Strong right skew; original-scale CV appears more sensitive than log-scale dispersion.
realprize,Affiliate,150->180,35,24256,0.05290117111940494,0.05290117111940494,False,1.0866042534994556,0.05971710970591087,1.0776777097915715,0.03361923731700189,0.03119600323134087,0.04625119439078597,1.0290584181146212,1.0396734815881512,1.1059192618725913,1.1458761700769922,0.06624578028444006,0.061470864324782534,1.1135190674368103,0.10839766926696864,True,True,0.052654397117306434,0.1075253314454675,1.0,0,1.8509287042239835,False,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.2857142857142857,0.42857142857142855,-0.14285714285714285,-0.28571428571428575,0.0,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,Affiliate,180->270,35,23393,0.06777421553542597,0.06777421553542597,False,1.1499404896294452,0.07859457568960873,1.1283508495838865,0.05488901510059829,0.0486453438846971,0.07212158684345192,1.0688688441474425,1.0863892796746195,1.1867143104056082,1.256028796977609,0.10032503073098864,0.08891297486768988,1.1751009526144904,0.165870352204004,True,True,0.06653377699609656,0.1613540610241732,1.0,0,0.9842377487074746,False,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,Affiliate,270->365,35,39713,0.0860767217680895,0.0860767217680895,False,1.1195604757741642,0.09366978223278405,1.0807422380122735,0.04167717379112945,0.03856347269982072,0.057174204624754185,1.0305000800361925,1.0440048991009023,1.1649614136176714,1.2561204753676949,0.12095651451676903,0.11191985495008976,1.2189426276644038,0.20876429864207832,True,True,0.080412064737497,0.19798378430901514,1.0,0,1.157956642690884,False,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.2857142857142857,-0.28571428571428575,0.14285714285714285,0.14285714285714285,Distribution appears broadly stable relative to peers (or not in high-CV focus).
