brand,population,patch,cohort_date,n_users_from_patch,sum_cum_s,sum_cum_e,ARPU_s,ARPU_e,cohort_metric_used_for_cv,abs_dev,distance_from_mean,distance_from_median,percentile_rank,was_removed_by_existing_trim,n_users,total_revenue,n_payers,payer_rate,ARPPU,max_user_revenue,top1_user_revenue_share,top5_users_revenue_share,pct_users_zero_revenue,pct_users_near_zero_revenue
realprize,Blended,1->7,2026-06-24,2189,6100.99,38587.74,2.787112836911832,17.62802192782092,6.324832527180014,3.884264767120896,3.884264767120896,4.075725609866259,1.0,True,2189,38587.74,262,0.11968935587026039,147.28145038167938,20911.71,0.5419262698463294,0.7241675723947554,0.8803106441297396,0.8803106441297396
realprize,Blended,1->7,2026-06-25,2207,20664.38,46476.4,9.363108291798822,21.0586316266425,2.2491069173137546,0.19146084274536346,-0.19146084274536346,0.0,0.5142857142857142,False,2207,46476.399999999994,342,0.15496148618033528,135.89590643274852,6839.76,0.14716630375846668,0.5589206565052371,0.8450385138196647,0.8450385138196647
realprize,Blended,1->7,2026-06-26,2217,18086.829999999998,37727.29,8.158245376635092,17.017271087054578,2.0858984133759204,0.3546693466831976,-0.3546693466831976,-0.16320850393783415,0.34285714285714286,False,2217,37727.28999999999,311,0.14027965719440685,121.30961414790995,8544.88,0.22649069148618944,0.588906862910111,0.8597203428055932,0.8597203428055932
realprize,Blended,1->7,2026-06-27,2232,11736.68,40201.86,5.25836917562724,18.011586021505376,3.4253178922829965,0.9847501322238785,0.9847501322238785,1.176210974969242,0.9714285714285714,True,2232,40201.86,284,0.12724014336917563,141.55584507042255,18304.13,0.4553055505392039,0.6350382793233945,0.8727598566308243,0.8727598566308243
realprize,Blended,1->7,2026-06-28,2268,9294.5,20990.01,4.09810405643739,9.254854497354497,2.2583258916563556,0.18224186840276246,-0.18224186840276246,0.009218974342600994,0.5714285714285714,False,2268,20990.010000000002,260,0.1146384479717813,80.7308076923077,2964.73,0.14124481122210042,0.349861195873656,0.8853615520282186,0.8853615520282186
realprize,Blended,1->7,2026-06-29,2152,11143.59,25415.6,5.178248141263941,11.810223048327137,2.2807371771574507,0.1598305829016673,-0.1598305829016673,0.03163025984369616,0.6,False,2152,25415.6,259,0.12035315985130111,98.12972972972972,5095.84,0.20050048002014512,0.4602464628023734,0.8796468401486989,0.8796468401486989
realprize,Blended,1->7,2026-06-30,2026,7827.82,21439.75,3.8636821322803554,10.582305034550838,2.738917093137042,0.2983493330779239,0.2983493330779239,0.48981017582328734,0.7714285714285715,False,2026,21439.75,248,0.12240868706811452,86.45060483870968,5206.57,0.24284658169987988,0.4649737053836914,0.8775913129318855,0.8775913129318855
realprize,Blended,1->7,2026-07-01,2002,13075.77,25386.03,6.531353646353646,12.680334665334664,1.9414558377824018,0.4991119222767162,-0.4991119222767162,-0.30765107953135273,0.2857142857142857,False,2002,25386.03,329,0.16433566433566432,77.16118541033434,3578.8500000000004,0.14097714372826317,0.35261795562362447,0.8356643356643356,0.8356643356643356
realprize,Blended,1->7,2026-07-02,1850,12383.47,19987.87,6.693767567567567,10.804254054054054,1.6140766683328662,0.8264910917262518,-0.8264910917262518,-0.6350302489808883,0.02857142857142857,True,1850,19987.87,360,0.1945945945945946,55.52186111111111,5439.91,0.27216056538290473,0.39591862464584776,0.8054054054054054,0.8054054054054054
realprize,Blended,1->7,2026-07-03,1877,10418.21,18225.62,5.5504581779435265,9.709973361747469,1.7494003288472781,0.6911674312118399,-0.6911674312118399,-0.4997065884664764,0.11428571428571428,False,1877,18225.620000000003,365,0.19445924347362814,49.93320547945206,1699.94,0.09327199842858569,0.2743089123991391,0.8055407565263719,0.8055407565263719
